t,x_a,y_a,z_a,x_b,y_b,z_b,separation
0.00000,-4.902696,-3.743865,24.690890,-4.902696,-3.743865,24.690890,0.0000000100
0.00500,-4.847750,-3.808514,24.455282,-4.847750,-3.808514,24.455282,0.0000000095
0.01000,-4.798746,-3.877576,24.223422,-4.798746,-3.877576,24.223422,0.0000000091
0.01500,-4.755607,-3.950930,23.995443,-4.755607,-3.950930,23.995443,0.0000000087
0.02000,-4.718252,-4.028477,23.771478,-4.718252,-4.028477,23.771478,0.0000000083
0.02500,-4.686603,-4.110133,23.551654,-4.686603,-4.110133,23.551654,0.0000000080
0.03000,-4.660579,-4.195832,23.336102,-4.660579,-4.195832,23.336102,0.0000000077
0.03500,-4.640102,-4.285525,23.124952,-4.640102,-4.285525,23.124952,0.0000000074
0.04000,-4.625096,-4.379175,22.918334,-4.625096,-4.379175,22.918334,0.0000000072
0.04500,-4.615486,-4.476760,22.716382,-4.615486,-4.476760,22.716382,0.0000000070
0.05000,-4.611200,-4.578271,22.519234,-4.611200,-4.578271,22.519234,0.0000000068
0.05500,-4.612171,-4.683709,22.327030,-4.612171,-4.683709,22.327030,0.0000000066
0.06000,-4.618333,-4.793086,22.139917,-4.618333,-4.793086,22.139917,0.0000000065
0.06500,-4.629626,-4.906424,21.958044,-4.629626,-4.906424,21.958044,0.0000000064
0.07000,-4.645995,-5.023753,21.781571,-4.645995,-5.023753,21.781571,0.0000000063
0.07500,-4.667386,-5.145108,21.610662,-4.667386,-5.145108,21.610662,0.0000000063
0.08000,-4.693752,-5.270532,21.445488,-4.693752,-5.270532,21.445488,0.0000000062
0.08500,-4.725050,-5.400071,21.286229,-4.725050,-5.400071,21.286229,0.0000000062
0.09000,-4.761242,-5.533777,21.133076,-4.761242,-5.533777,21.133076,0.0000000062
0.09500,-4.802293,-5.671702,20.986225,-4.802293,-5.671702,20.986225,0.0000000062
0.10000,-4.848174,-5.813900,20.845886,-4.848174,-5.813900,20.845886,0.0000000063
0.10500,-4.898858,-5.960425,20.712278,-4.898858,-5.960425,20.712278,0.0000000063
0.11000,-4.954324,-6.111328,20.585630,-4.954324,-6.111328,20.585630,0.0000000063
0.11500,-5.014553,-6.266659,20.466185,-5.014553,-6.266659,20.466185,0.0000000064
0.12000,-5.079530,-6.426463,20.354197,-5.079530,-6.426463,20.354197,0.0000000064
0.12500,-5.149242,-6.590777,20.249932,-5.149242,-6.590777,20.249931,0.0000000065
0.13000,-5.223680,-6.759634,20.153669,-5.223680,-6.759634,20.153669,0.0000000066
0.13500,-5.302835,-6.933054,20.065702,-5.302835,-6.933054,20.065702,0.0000000067
0.14000,-5.386700,-7.111047,19.986336,-5.386700,-7.111047,19.986336,0.0000000068
0.14500,-5.475268,-7.293612,19.915893,-5.475268,-7.293612,19.915893,0.0000000068
0.15000,-5.568532,-7.480729,19.854704,-5.568532,-7.480729,19.854704,0.0000000069
0.15500,-5.666484,-7.672363,19.803119,-5.666484,-7.672363,19.803119,0.0000000070
0.16000,-5.769116,-7.868458,19.761497,-5.769116,-7.868458,19.761497,0.0000000071
0.16500,-5.876414,-8.068937,19.730213,-5.876414,-8.068937,19.730213,0.0000000072
0.17000,-5.988362,-8.273697,19.709653,-5.988362,-8.273697,19.709653,0.0000000073
0.17500,-6.104939,-8.482608,19.700215,-6.104939,-8.482608,19.700215,0.0000000074
0.18000,-6.226119,-8.695509,19.702310,-6.226119,-8.695509,19.702310,0.0000000075
0.18500,-6.351866,-8.912206,19.716354,-6.351866,-8.912206,19.716354,0.0000000076
0.19000,-6.482137,-9.132470,19.742775,-6.482137,-9.132470,19.742775,0.0000000077
0.19500,-6.616879,-9.356029,19.782004,-6.616879,-9.356029,19.782004,0.0000000078
0.20000,-6.756028,-9.582573,19.834478,-6.756028,-9.582573,19.834478,0.0000000079
0.20500,-6.899505,-9.811741,19.900631,-6.899505,-9.811741,19.900631,0.0000000080
0.21000,-7.047218,-10.043127,19.980899,-7.047218,-10.043127,19.980899,0.0000000081
0.21500,-7.199057,-10.276271,20.075710,-7.199057,-10.276271,20.075710,0.0000000082
0.22000,-7.354894,-10.510658,20.185479,-7.354894,-10.510657,20.185479,0.0000000083
0.22500,-7.514580,-10.745713,20.310609,-7.514580,-10.745713,20.310609,0.0000000083
0.23000,-7.677946,-10.980804,20.451481,-7.677946,-10.980804,20.451481,0.0000000084
0.23500,-7.844797,-11.215233,20.608449,-7.844797,-11.215233,20.608449,0.0000000085
0.24000,-8.014912,-11.448239,20.781835,-8.014912,-11.448239,20.781835,0.0000000085
0.24500,-8.188042,-11.678993,20.971919,-8.188042,-11.678993,20.971919,0.0000000086
0.25000,-8.363909,-11.906602,21.178933,-8.363909,-11.906602,21.178933,0.0000000086
0.25500,-8.542202,-12.130104,21.403053,-8.542202,-12.130104,21.403053,0.0000000086
0.26000,-8.722579,-12.348473,21.644388,-8.722579,-12.348473,21.644388,0.0000000087
0.26500,-8.904660,-12.560619,21.902973,-8.904660,-12.560619,21.902973,0.0000000087
0.27000,-9.088030,-12.765393,22.178757,-9.088030,-12.765393,22.178757,0.0000000087
0.27500,-9.272239,-12.961591,22.471597,-9.272239,-12.961591,22.471597,0.0000000087
0.28000,-9.456796,-13.147959,22.781243,-9.456796,-13.147959,22.781243,0.0000000087
0.28500,-9.641173,-13.323201,23.107332,-9.641173,-13.323201,23.107332,0.0000000087
0.29000,-9.824804,-13.485991,23.449376,-9.824804,-13.485991,23.449376,0.0000000087
0.29500,-10.007084,-13.634979,23.806758,-10.007084,-13.634979,23.806758,0.0000000086
0.30000,-10.187374,-13.768810,24.178716,-10.187374,-13.768810,24.178716,0.0000000086
0.30500,-10.364997,-13.886132,24.564345,-10.364997,-13.886132,24.564345,0.0000000085
0.31000,-10.539246,-13.985617,24.962585,-10.539246,-13.985617,24.962585,0.0000000085
0.31500,-10.709384,-14.065975,25.372223,-10.709384,-14.065975,25.372223,0.0000000084
0.32000,-10.874647,-14.125977,25.791889,-10.874647,-14.125977,25.791889,0.0000000083
0.32500,-11.034252,-14.164471,26.220056,-11.034252,-14.164471,26.220056,0.0000000083
0.33000,-11.187400,-14.180404,26.655047,-11.187400,-14.180404,26.655047,0.0000000082
0.33500,-11.333282,-14.172843,27.095043,-11.333282,-14.172843,27.095043,0.0000000081
0.34000,-11.471086,-14.140998,27.538089,-11.471086,-14.140998,27.538089,0.0000000080
0.34500,-11.600006,-14.084238,27.982110,-11.600006,-14.084238,27.982110,0.0000000079
0.35000,-11.719248,-14.002113,28.424930,-11.719248,-14.002113,28.424930,0.0000000078
0.35500,-11.828040,-13.894369,28.864289,-11.828040,-13.894369,28.864289,0.0000000078
0.36000,-11.925639,-13.760963,29.297866,-11.925639,-13.760963,29.297866,0.0000000077
0.36500,-12.011345,-13.602079,29.723308,-12.011345,-13.602079,29.723308,0.0000000076
0.37000,-12.084504,-13.418127,30.138252,-12.084504,-13.418127,30.138252,0.0000000076
0.37500,-12.144520,-13.209756,30.540362,-12.144520,-13.209756,30.540362,0.0000000075
0.38000,-12.190863,-12.977848,30.927354,-12.190863,-12.977848,30.927354,0.0000000075
0.38500,-12.223080,-12.723516,31.297028,-12.223080,-12.723516,31.297028,0.0000000074
0.39000,-12.240797,-12.448094,31.647299,-12.240797,-12.448094,31.647299,0.0000000074
