renorm_step,running_lambda
0,-7.758237
1,-4.699321
2,-2.433155
3,-1.171176
4,-0.598441
5,-0.510370
6,-0.694596
7,-0.763931
8,-0.669101
9,-0.725347
10,-0.897025
11,-0.978073
12,-0.867777
13,-0.613430
14,-0.297664
15,0.019093
16,0.296837
17,0.503250
18,0.604593
19,0.576034
20,0.460431
21,0.383729
22,0.326512
23,0.211159
24,0.073586
25,-0.014881
26,-0.010154
27,0.089285
28,0.250943
29,0.432737
30,0.601112
31,0.728599
32,0.787192
33,0.759176
34,0.682537
35,0.625826
36,0.558670
37,0.457369
38,0.353546
39,0.283824
40,0.270869
41,0.324434
42,0.432596
43,0.566396
44,0.698881
45,0.808102
46,0.870925
47,0.867241
48,0.812993
49,0.759939
50,0.698025
51,0.611110
52,0.521336
53,0.453122
54,0.418680
55,0.427446
56,0.485339
57,0.581522
58,0.695389
59,0.809698
60,0.909715
61,0.977060
62,0.990587
63,0.952222
64,0.900728
65,0.836775
66,0.752161
67,0.666619
68,0.599323
69,0.554241
70,0.529949
71,0.530976
72,0.564495
73,0.629576
74,0.716374
75,0.814789
76,0.918376
77,1.022926
78,1.123848
79,1.212834
80,1.273479
81,1.283487
82,1.244830
83,1.183188
84,1.097124
85,0.997677
86,0.907696
87,0.840105
88,0.789525
89,0.746412
90,0.712919
91,0.711829
92,0.753304
93,0.798054
94,0.811839
95,0.792947
96,0.768003
97,0.749297
98,0.727005
99,0.700988
100,0.676892
101,0.657670
102,0.642974
103,0.630772
104,0.617667
105,0.598793
106,0.572401
107,0.557568
108,0.570561
109,0.572210
110,0.553343
111,0.538579
112,0.536696
113,0.544001
114,0.560486
115,0.586758
116,0.621380
117,0.661687
118,0.704407
119,0.745171
120,0.777348
121,0.791457
122,0.780691
123,0.757397
124,0.735654
125,0.703876
126,0.664547
127,0.632774
128,0.618173
129,0.622347
130,0.644538
131,0.681617
132,0.728469
133,0.780554
134,0.834488
135,0.886863
136,0.932388
137,0.961958
138,0.964844
139,0.944411
140,0.916720
141,0.878418
142,0.831442
143,0.787858
144,0.755463
145,0.733166
146,0.717752
147,0.708522
148,0.706365
149,0.711325
150,0.720562
151,0.727574
152,0.723398
153,0.705645
154,0.690103
155,0.673358
156,0.648270
157,0.631253
158,0.630250
159,0.640965
160,0.660596
161,0.688120
162,0.722180
163,0.761252
164,0.804067
165,0.849634
166,0.897076
167,0.945356
168,0.992772
169,1.035875
170,1.067609
171,1.077337
172,1.062814
173,1.036631
174,0.999165
175,0.953121
176,0.909066
177,0.874644
178,0.848787
179,0.826775
180,0.807596
181,0.799523
182,0.814482
183,0.840318
184,0.855020
185,0.850665
186,0.836823
187,0.825207
188,0.812662
189,0.797395
190,0.782615
191,0.771015
192,0.763335
193,0.759283
194,0.757980
195,0.757489
196,0.754246
197,0.744039
198,0.729645
199,0.724971
200,0.720497
201,0.706768
202,0.695795
203,0.694773
204,0.701626
205,0.714870
206,0.733932
207,0.757717
208,0.784822
209,0.813756
210,0.842638
211,0.868501
212,0.886375
213,0.889863
214,0.878621
215,0.863645
216,0.844767
217,0.819033
218,0.793356
219,0.774894
220,0.765541
221,0.765315
222,0.775013
223,0.794235
224,0.820619
225,0.851565
226,0.885307
227,0.920774
228,0.957143
229,0.993341
230,1.027297
231,1.054565
232,1.067323
233,1.060540
234,1.042175
235,1.015102
236,0.980059
237,0.944443
238,0.915175
239,0.893140
240,0.875244
241,0.861595
242,0.859979
243,0.874610
244,0.892154
245,0.899423
246,0.893507
247,0.882957
248,0.875136
249,0.866337
250,0.855026
251,0.843186
252,0.832208
253,0.821974
254,0.811538
255,0.799830
256,0.787541
257,0.782922
258,0.793679
259,0.803634
260,0.800763
261,0.791597
262,0.784925
263,0.780031
264,0.776317
265,0.775660
266,0.779376
267,0.787395
268,0.798752
269,0.811907
270,0.824634
271,0.833644
272,0.834723
273,0.826390
274,0.816471
275,0.807471
276,0.793019
277,0.776923
278,0.766935
279,0.766047
280,0.773435
281,0.787565
282,0.806505
283,0.828326
284,0.851398
285,0.874033
286,0.893726
287,0.906363
288,0.907208
289,0.897745
290,0.885972
291,0.870072
292,0.849580
293,0.830014
294,0.815706
295,0.807242
296,0.804552
297,0.808723
298,0.820326
299,0.838059
300,0.859751
301,0.883554
302,0.907927
303,0.930898
304,0.948972
305,0.956588
306,0.950778
307,0.938046
308,0.920146
309,0.896625
310,0.873122
311,0.855038
312,0.842678
313,0.833376
314,0.825092
315,0.816539
316,0.806698
317,0.797086
318,0.797038
319,0.806254
320,0.808285
321,0.801776
322,0.795386
323,0.791295
324,0.788868
325,0.789529
326,0.794575
327,0.803959
328,0.816818
329,0.832060
330,0.848463
331,0.864401
332,0.877330
333,0.883433
334,0.879723
335,0.870542
336,0.860769
337,0.846684
338,0.830108
339,0.816791
340,0.809831
341,0.809395
342,0.815454
343,0.827570
344,0.844312
345,0.864112
346,0.885896
347,0.909055
348,0.933228
349,0.958158
350,0.983590
351,1.009133
352,1.033982
353,1.056235
354,1.071733
355,1.074654
356,1.065477
357,1.049372
358,1.026355
359,0.999906
360,0.975180
361,0.955393
362,0.940610
363,0.932163
364,0.934563
365,0.944965
366,0.953968
367,0.955789
368,0.950208
369,0.943352
370,0.939322
371,0.934622
372,0.927554
373,0.919014
374,0.909848
375,0.900610
376,0.893436
377,0.893798
378,0.903147
379,0.913335
380,0.917104
381,0.912931
382,0.906095
383,0.901604
384,0.896887
385,0.890224
386,0.882500
387,0.874507
388,0.866231
389,0.857643
390,0.850785
391,0.851819
392,0.861493
393,0.869734
394,0.869919
395,0.863917
396,0.858440
397,0.854269
398,0.849205
399,0.843676
400,0.838809
401,0.834987
402,0.831913
403,0.828852
404,0.824631
405,0.818073
406,0.811123
407,0.810976
408,0.813079
409,0.809113
410,0.803080
411,0.800461
412,0.801113
